Restaurant_ID,Name,State,Latitude,Longitude,Alcohol_Service,Smoking_Allowed,Price,Franchise,Area,Parking,City
132560,Puesto de Gorditas,Tamaulipas,23.7523041,-99.1669133,None,Yes,Low,No,Open,Public,Ciudad Victoria
132561,Cafe Ambar,Tamaulipas,23.726819,-99.1265059,None,No,Low,No,Closed,None,Ciudad Victoria
132564,Church's,Tamaulipas,23.7309245,-99.1451848,None,No,Low,No,Closed,None,Ciudad Victoria
132572,Cafe Chaires,San Luis Potosi,22.1416471,-100.9927118,None,No,Low,No,Closed,Yes,San Luis Potosi
132583,McDonalds Centro,Morelos,18.9222904,-99.234332,None,No,Low,Yes,Closed,None,Cuernavaca
132584,Gorditas Doña Tota,Tamaulipas,23.7523648,-99.1652879,None,No,Medium,Yes,Closed,Yes,Ciudad Victoria
132594,Tacos De Barbacoa Enfrente Del Tec,Tamaulipas,23.7521677,-99.165709,None,No,Low,No,Open,Public,Ciudad Victoria
132608,Hamburguesas La Perica,Tamaulipas,23.7588052,-99.1651297,None,Yes,Low,Yes,Open,Public,Ciudad Victoria
132609,Pollo Frito Buenos Aires,Tamaulipas,23.7602683,-99.1658646,None,No,Low,Yes,Closed,Yes,Ciudad Victoria
132613,Carnitas Mata,Tamaulipas,23.7529035,-99.165076,None,Yes,Medium,Yes,Closed,Yes,Ciudad Victoria
132626,La Perica Hamburguesa,Tamaulipas,23.7375834,-99.1351318,None,No,Medium,Yes,Closed,Yes,Ciudad Victoria
132630,Palomo Tec,Tamaulipas,23.7529305,-99.1644725,None,No,Low,No,Closed,None,Ciudad Victoria
132654,Carnitas Mata  Calle 16 de Septiembre,Tamaulipas,23.7355234,-99.1295877,None,No,Low,No,Closed,None,Ciudad Victoria
132660,Carnitas Mata Calle Emilio Portes Gil,Tamaulipas,23.7529428,-99.1646791,None,No,Low,No,Closed,None,Ciudad Victoria
132663,Tacos Abi,Tamaulipas,23.7525107,-99.1669536,None,No,Low,No,Closed,None,Ciudad Victoria
132665,Tacos Correcaminos,Tamaulipas,23.7367977,-99.1342413,None,No,Low,No,Closed,None,Ciudad Victoria
132667,Little Pizza Emilio Portes Gil,Tamaulipas,23.7526973,-99.1633594,None,No,Low,Yes,Closed,None,Ciudad Victoria
132668,Tacos El Guero,Tamaulipas,23.738212,-99.1519547,None,No,Low,No,Closed,None,Ciudad Victoria
132706,Gorditas Dona Tota,Tamaulipas,23.7292162,-99.1323571,None,No,Medium,Yes,Closed,Public,Ciudad Victoria
132715,Tacos De La Estacion,Tamaulipas,23.7324226,-99.1586602,None,No,Low,No,Open,None,Ciudad Victoria
132717,Tortas Hawaii,Tamaulipas,23.7318602,-99.1504365,None,No,Medium,No,Closed,Public,Ciudad Victoria
132732,Taqueria El Amigo,Tamaulipas,23.7543569,-99.171288,None,No,Low,No,Open,None,Ciudad Victoria
132733,Little Caesars,Tamaulipas,23.7527071,-99.1625655,None,No,Medium,Yes,Closed,Yes,Ciudad Victoria
132740,Carreton De Flautas Y Migadas,Tamaulipas,23.7521965,-99.1666317,None,Yes,Low,No,Open,None,Ciudad Victoria
132754,Cabana Huasteca,San Luis Potosi,22.1477379,-100.9906163,None,No,Medium,No,Closed,None,San Luis Potosi
132755,La Estrella De Dimas,San Luis Potosi,22.153324,-101.0195459,None,No,Medium,No,Closed,Public,San Luis Potosi
132768,Mariscos Tia Licha,Morelos,18.9257734,-99.2326355,None,No,Medium,Yes,Closed,None,Cuernavaca
132825,Puesto De Tacos,San Luis Potosi,22.1473922,-100.983092,None,No,Low,No,Open,None,San Luis Potosi
132830,Rincon Huasteco,San Luis Potosi,22.1508494,-100.9397522,None,No,Low,No,Closed,None,San Luis Potosi
132834,Gorditas Doa Gloria,San Luis Potosi,22.156469,-100.98554,None,No,Low,No,Closed,Public,San Luis Potosi
132845,Cenaduria El Rincón De Tlaquepaque,San Luis Potosi,22.1262926,-100.9007764,None,No,Medium,No,Closed,None,San Luis Potosi
132846,El Lechon Potosino,San Luis Potosi,22.1422732,-100.9426537,None,Yes,Low,No,Open,None,San Luis Potosi
132847,Don Burguers,San Luis Potosi,22.1443365,-100.9373825,None,No,Low,No,Open,None,San Luis Potosi
132851,KFC,San Luis Potosi,22.136872,-100.9345736,None,No,Low,No,Closed,Yes,San Luis Potosi
132858,Hamburguesas Valle Dorado,San Luis Potosi,22.1312917,-100.9371941,None,No,Low,No,Closed,None,San Luis Potosi
132861,Carl's Jr,San Luis Potosi,22.1480965,-101.0173023,None,No,Medium,Yes,Closed,Yes,San Luis Potosi
132866,Chaires,San Luis Potosi,22.1412198,-100.9313107,None,No,Medium,No,Closed,Yes,San Luis Potosi
132869,Dominos Pizza,San Luis Potosi,22.1412384,-100.9239252,None,No,Medium,No,Closed,Yes,San Luis Potosi
132870,Tortas Y Hamburguesas El Gordo,San Luis Potosi,22.1430781,-100.9354788,None,No,Low,No,Closed,None,San Luis Potosi
132872,Pizzeria Julios,San Luis Potosi,22.1735955,-100.9946027,None,No,Medium,No,Closed,Public,San Luis Potosi
132877,Sirloin Stockade,San Luis Potosi,22.1353639,-100.9349477,None,No,Low,No,Closed,None,San Luis Potosi
132884,Dairy Queen,San Luis Potosi,22.1395776,-101.0278863,None,No,Low,No,Closed,None,San Luis Potosi
132885,Hamburguesas Saul,San Luis Potosi,22.1795169,-100.9584358,None,No,Low,No,Closed,Public,San Luis Potosi
132922,Cafe Punta Del Cielo,San Luis Potosi,22.1511348,-100.9823115,None,Yes,Medium,No,Closed,None,San Luis Potosi
132951,Vips,San Luis Potosi,22.1544736,-100.9858091,None,No,Low,No,Closed,Yes,San Luis Potosi
132954,La Parroquia,San Luis Potosi,22.1603808,-100.9880447,None,No,Medium,Yes,Closed,Yes,San Luis Potosi
132958,Tacos Los Volcanes,San Luis Potosi,22.1449787,-101.0056829,None,No,Low,Yes,Closed,None,San Luis Potosi
134976,Log Yin,Morelos,18.916654,-99.22711,None,No,Low,No,Closed,Yes,Cuernavaca
134999,Kiku Cuernavaca,Morelos,18.915421,-99.184871,None,No,Medium,No,Closed,None,Cuernavaca
135000,Restaurant Los Pinos,Morelos,18.870565,-99.226938,None,No,Medium,No,Closed,None,Cuernavaca
135011,Los Vikingos,Morelos,18.91061,-99.169539,None,No,Medium,Yes,Closed,None,Cuernavaca
135013,Giovannis,Morelos,18.917441,-99.165945,None,No,Low,No,Closed,None,Cuernavaca
135016,Arrachela Grill,Morelos,18.869347,-99.209944,None,No,Medium,No,Closed,None,Cuernavaca
135019,Restaurant Bar Coty Y Pablo,Morelos,18.875011,-99.159422,None,No,Low,No,Closed,None,Jiutepec
135021,Subway,Morelos,18.933537,-99.222497,None,No,Low,Yes,Closed,Public,Cuernavaca
135025,El Rincon De San Francisco,San Luis Potosi,22.14955,-100.97797,None,No,Medium,No,Closed,None,San Luis Potosi
135030,Preambulo Wifi Zone Cafe,San Luis Potosi,22.14788,-100.989472,None,No,Medium,No,Closed,None,San Luis Potosi
135033,Restaurant El Muladar De Calzada,San Luis Potosi,22.14161,-100.973142,None,Yes,Medium,No,Closed,None,San Luis Potosi
135034,Michiko Restaurant Japones,San Luis Potosi,22.140517,-101.021422,None,No,Medium,No,Closed,None,San Luis Potosi
135035,El Mundo De La Pasta,San Luis Potosi,22.145813,-101.018032,None,Yes,High,No,Closed,Yes,San Luis Potosi
135038,Restaurant La Chalita,San Luis Potosi,22.155651,-100.977767,None,Yes,Medium,No,Closed,None,San Luis Potosi
135039,Restaurant De Mariscos De Picon,San Luis Potosi,22.145893,-100.97487,None,Yes,Low,No,Closed,Yes,San Luis Potosi
135042,Restaurant Oriental Express,San Luis Potosi,22.159357,-100.973411,None,No,Medium,No,Closed,None,San Luis Potosi
135043,Pizza Clasica,San Luis Potosi,22.185756,-100.944518,None,No,Medium,No,Closed,None,San Luis Potosi
135044,Restaurant Wu Zhuo Yi,San Luis Potosi,22.141848,-100.997475,None,No,Medium,No,Closed,None,San Luis Potosi
135046,Restaurante El Reyecito,San Luis Potosi,22.141282,-101.002958,None,No,Medium,No,Closed,Yes,San Luis Potosi
135049,Restaurante De Mariscos La Langosta,San Luis Potosi,22.135011,-101.0286,None,No,Medium,No,Closed,None,San Luis Potosi
135051,Restaurante Versalles,San Luis Potosi,22.151189,-100.977058,None,Yes,Low,No,Closed,None,San Luis Potosi
135053,La Fontana Pizza Restaurante And Cafe,San Luis Potosi,22.178931,-101.012861,None,Yes,High,No,Closed,Yes,San Luis Potosi
135054,Restaurante Y Pescaderia Tampico,San Luis Potosi,22.140626,-100.915657,None,No,High,No,Closed,Yes,San Luis Potosi
135055,La Cochinita Pibil Restaurante Yucateco,San Luis Potosi,22.148854,-101.008472,None,Yes,High,No,Closed,Yes,San Luis Potosi
135058,Restaurante Tiberius,San Luis Potosi,22.165587,-101.001273,None,No,Medium,Yes,Closed,Public,San Luis Potosi
135060,Restaurante Marisco Sam,San Luis Potosi,22.156883,-100.978485,None,No,Medium,No,Closed,None,San Luis Potosi
